scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,fallback_selection_fraction,ancillary_available_fraction,mean_active_ancillary_modes,assist_fraction,mean_ess,min_ess
static,vanilla,5,0,1024,56,slip,success,1,24.15,8.52,0.25,0.0,41.139,49.292,61.46,8.502,0.498,0.0613,0.1411,19.997,24.154,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,5,0,1024,56,slip,success,1,24.45,8.52,0.18,0.0,123.516,137.181,178.71,8.5093,0.4907,0.0316,0.0729,60.535,8.078,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,5,0,1024,56,slip,success,1,19.1,8.51,0.15,0.05,161.405,211.372,244.85,8.5055,0.4945,0.0167,0.0437,61.751,6.186,0,50,0.0,1.0,0.7460732984293194,1.5078534031413613,0.0,240.18578121957495,1.9199575147306942
static,vanilla,42,0,1024,56,slip,success,1,24.15,8.53,0.7,0.0,38.444,49.904,83.224,8.508,0.492,0.0623,0.1273,18.704,25.824,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,42,0,1024,56,slip,success,1,24.35,8.51,0.575,0.0,114.423,123.531,134.486,8.509,0.491,0.025,0.0528,55.86,8.718,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,42,0,1024,56,slip,success,1,19.1,8.51,0.575,0.05,150.754,198.223,214.226,8.5069,0.4931,0.0131,0.0258,57.676,6.623,0,58,0.0,1.0,0.7460732984293194,1.3089005235602094,0.0,331.3950453310635,91.88010412772933
static,vanilla,48,0,1024,56,slip,collision,0,18.7,3.74,-0.019,5.35,38.044,45.621,71.055,3.6884,5.3116,0.5505,0.8043,14.33,26.098,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,48,0,1024,56,slip,success,1,27.15,8.74,0.115,0.45,122.406,135.66,190.112,8.505,0.495,0.0466,0.1426,66.614,8.151,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,48,0,1024,56,slip,success,1,22.5,8.76,0.1,0.95,161.252,201.303,245.791,8.5034,0.4966,0.0593,0.1874,72.676,6.192,0,32,0.0,1.0,0.7422222222222222,1.24,0.06444444444444444,92.29000697122969,1.0021415168990253
