scenario,config,runs,successes,success_rate,collisions,timeouts,mean_success_time_s,mean_success_path_m,mean_clearance_m,worst_clearance_m,mean_goal_progress_m,mean_stall_s,mean_controller_hz,mean_path_error_m
static,vanilla,3,2,0.6666666666666666,1,0,24.15,8.524999999999999,0.3103333333333333,-0.019,6.899466666666666,1.7833333333333332,25.358666666666664,0.2247
static,path_mppi,3,3,1.0,0,0,25.316666666666663,8.590000000000002,0.29,0.115,8.507766666666667,0.15,8.315666666666667,0.03440000000000001
static,amoeba,3,3,1.0,0,0,20.233333333333334,8.593333333333334,0.27499999999999997,0.1,8.505266666666666,0.35000000000000003,6.333666666666667,0.0297
