world,seed,policy,ranker_blend,result,success,time_s,path_length_m,minimum_clearance_m,mode_switches,mean_controller_ms,p95_controller_ms,ranker_active_cycles,ranker_agreement
0,0,equal,nan,success,1,30.85,10.98,0.137,7,37.44706025281925,126.41166279972818,0,nan
0,0,geometric,nan,success,1,31.25,11.01,0.137,7,37.24647337757633,123.31915179893257,0,nan
0,0,blend,0.25,success,1,28.9,10.86,0.127,7,38.43232764013646,130.1894512484977,437,0.5446224256292906
0,0,learned,nan,success,1,30.35,10.92,0.137,7,38.33290098672324,128.15716949880874,479,0.48434237995824636
0,1,equal,nan,success,1,29.6,10.92,0.137,7,36.90362028208784,125.91209769962,0,nan
0,1,geometric,nan,success,1,30.5,11.01,0.137,7,36.91277791977718,124.74623980015154,0,nan
0,1,blend,0.25,success,1,29.7,10.92,0.137,7,38.11788187544373,127.38798845048223,459,0.4923747276688453
0,1,learned,nan,success,1,29.65,11.03,0.137,6,38.22871611802078,127.91452839992414,467,0.4860813704496788
0,2,equal,nan,success,1,30.0,10.78,0.12,8,37.223715871659806,126.59415664957119,0,nan
0,2,geometric,nan,success,1,31.6,10.75,0.125,10,37.130848952546316,123.85755299974323,0,nan
0,2,blend,0.25,success,1,31.5,10.76,0.115,8,38.01282902700006,125.14679225032512,467,0.556745182012848
0,2,learned,nan,success,1,29.75,10.9,0.137,7,38.54314778821872,127.45009139998719,468,0.5512820512820513
7,0,equal,nan,success,1,20.7,9.31,0.175,5,39.50469116909148,142.79140445014482,0,nan
7,0,geometric,nan,success,1,20.8,9.37,0.175,5,39.60284016585547,144.34125424986632,0,nan
7,0,blend,0.25,success,1,20.85,9.36,0.182,3,40.66538793998331,145.92506000008143,290,0.7379310344827587
7,0,learned,nan,success,1,20.8,9.36,0.175,5,40.684406884587624,145.6588964997536,290,0.7241379310344828
7,1,equal,nan,success,1,20.7,9.36,0.182,5,39.51662386470675,142.87081615020722,0,nan
7,1,geometric,nan,success,1,20.7,9.36,0.171,3,39.63185906764999,143.37263565021198,0,nan
7,1,blend,0.25,success,1,20.65,9.34,0.171,5,40.75497084014975,146.3344058003713,290,0.7310344827586207
7,1,learned,nan,success,1,20.65,9.35,0.175,5,40.119947164611766,144.4081747999007,290,0.6827586206896552
7,2,equal,nan,success,1,20.9,9.41,0.191,3,39.36259426794848,144.76216460034266,0,nan
7,2,geometric,nan,success,1,20.85,9.39,0.182,3,38.861121611510846,143.63725260081992,0,nan
7,2,blend,0.25,success,1,20.8,9.37,0.175,3,40.00402125722338,144.1858702501122,290,0.7310344827586207
7,2,learned,nan,success,1,20.85,9.39,0.182,3,39.90801949633916,143.52684359982956,290,0.7206896551724138
40,0,equal,nan,success,1,18.95,8.54,0.375,5,41.487839390517166,146.30786989946498,0,nan
40,0,geometric,nan,success,1,18.95,8.53,0.325,5,42.14295475994108,147.52286270031618,0,nan
40,0,blend,0.25,success,1,19.0,8.54,0.375,5,42.71386107105795,147.99376724904508,285,0.743859649122807
40,0,learned,nan,success,1,19.0,8.55,0.375,5,42.98198434211563,149.07646459969328,285,0.7508771929824561
40,1,equal,nan,success,1,18.9,8.53,0.375,5,42.272743637551216,146.603438198872,0,nan
40,1,geometric,nan,success,1,18.9,8.53,0.375,5,42.48659535981956,148.05910829945788,0,nan
40,1,blend,0.25,success,1,18.9,8.53,0.375,5,43.58819169571145,148.1510543000695,285,0.7543859649122807
40,1,learned,nan,success,1,18.95,8.55,0.375,5,42.84535233774888,148.73978529994926,285,0.7403508771929824
40,2,equal,nan,success,1,19.0,8.54,0.425,5,41.493495489377985,147.5540412511691,0,nan
40,2,geometric,nan,success,1,19.0,8.54,0.426,5,41.886500660511,147.73963209945578,0,nan
40,2,blend,0.25,success,1,19.0,8.54,0.426,5,43.31247147107972,149.92741539990675,285,0.7649122807017544
40,2,learned,nan,success,1,19.0,8.54,0.427,5,44.44297039472555,149.11848380061204,285,0.7789473684210526
48,0,equal,nan,success,1,20.85,8.9,0.115,3,38.20651850114602,139.39634759990437,0,nan
48,0,geometric,nan,success,1,20.2,8.96,0.115,4,36.46328595544732,134.3660362492301,0,nan
48,0,blend,0.25,success,1,20.45,9.0,0.107,4,37.991833801970195,138.2012434001808,213,0.7699530516431925
48,0,learned,nan,success,1,20.45,8.91,0.125,4,35.60457804639859,130.43309959939498,193,0.7253886010362695
48,1,equal,nan,success,1,20.25,8.93,0.125,3,34.57850685927379,128.93309320024852,0,nan
48,1,geometric,nan,success,1,20.4,8.96,0.125,3,35.66954863718178,129.68445545111527,0,nan
48,1,blend,0.25,success,1,20.65,8.93,0.102,3,35.524963527829705,131.45188699963904,208,0.7980769230769231
48,1,learned,nan,success,1,20.55,8.93,0.102,3,35.73179492951698,131.93600950035034,192,0.7708333333333334
48,2,equal,nan,success,1,27.95,10.98,0.115,7,37.02534250268675,124.87886299913956,0,nan
48,2,geometric,nan,success,1,27.3,11.21,0.115,8,35.452974100698796,122.65396775001136,0,nan
48,2,blend,0.25,success,1,32.6,10.91,0.125,8,35.33278892023107,110.24523485029931,432,0.7037037037037037
48,2,learned,nan,success,1,26.55,10.78,0.107,5,36.04829364973487,124.16184749963577,340,0.7294117647058823
