world,seed,baseline_result,shadow_result,outcome_match,trace_length_match,max_state_error,baseline_mean_controller_ms,shadow_mean_controller_ms,active_cycles,agreement,ranker_mean_total_ms,ranker_p95_total_ms
0,0,success,success,1,1,0.0,38.96783110537297,39.91716851865825,487,0.4620123203285421,2.086412650922964,2.525612200406613
7,0,success,success,1,1,0.0,39.18302427776408,41.72578136954166,290,0.7206896551724138,1.944269841360751,2.2980891008046456
40,0,success,success,1,1,0.0,42.519687036954295,43.84688606862404,285,0.7614035087719299,1.9494616666251157,2.3598634008521913
48,0,success,success,1,1,0.0,34.98360247008142,35.87318012702674,183,0.7486338797814208,1.8668176229756746,2.11831579945283
