policy,episodes,success_rate,collision_count,timeout_count,mean_time_s,mean_path_length_m,mean_minimum_clearance_m,mean_mode_switches,mean_controller_ms,mean_p95_controller_ms
equal,12,1.0,0,0,23.22083333333333,9.598333333333334,0.20600000000000004,5.25,38.75189600740554,136.9179962915344
geometric,12,1.0,0,0,23.370833333333334,9.635000000000003,0.2006666666666667,5.416666666666667,38.62398171404296,136.10834580410935
blend,12,1.0,0,0,23.583333333333332,9.588333333333333,0.2014166666666667,5.25,39.53762742231806,137.09501418325087
learned,12,1.0,0,0,23.045833333333334,9.600833333333334,0.20450000000000002,5.0,39.45600934489515,137.54844954148663
