world,seed,step,state_x,state_y,state_yaw,candidate_count,heuristic_branch,oracle_branch,agrees,utility_regret,heuristic_collision,oracle_collision,avoidable_collision,branch_id,promise,utility,progress_m,minimum_clearance_m,collision,stall_fraction,path_length_m,mean_speed_mps,mean_abs_omega_rps,is_heuristic,is_oracle
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,0,9.0,7.150001525878906,1.2875003814697266,1.8949999809265137,0,0.0,1.2850003242492676,0.45982142857142855,0.0,1,1
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,1,9.513236186146589,6.992805480957031,1.2482013702392578,1.6120399236679077,0,0.0,1.2636055946350098,0.45218076037786004,0.2523747889156115,0,0
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,2,9.513236186146589,6.992805480957031,1.2482013702392578,1.6120399236679077,0,0.0,1.2636055946350098,0.45218076037786004,0.25237478891561166,0,0
0,0,10,-2.2493691444396973,1.0683510303497314,1.5572539567947388,3,0,0,1,0.0,0,0,0,0,8.95,7.467267990112305,1.3668169975280762,1.8945108652114868,0,0.0,1.3534741401672363,0.4881587320359878,0.007073459404834525,1,1
0,0,10,-2.2493691444396973,1.0683510303497314,1.5572539567947388,3,0,0,1,0.0,0,0,0,1,9.463793281809847,7.285696029663086,1.3214240074157715,1.5892372131347656,0,0.0,1.3329665660858154,0.48083440650032705,0.2759820275548221,0,0
0,0,10,-2.2493691444396973,1.0683510303497314,1.5572539567947388,3,0,0,1,0.0,0,0,0,2,9.463793281809847,7.275457382202148,1.318864345550537,1.5645002126693726,0,0.0,1.3325837850570679,0.48069775594556,0.27808929979988783,0,0
0,0,20,-2.247762680053711,1.2233102321624756,1.5650391578674316,3,0,0,1,0.0,0,0,0,0,8.799999999999999,7.587762832641602,1.3969407081604004,1.894482970237732,0,0.0,1.3747185468673706,0.4989092929293397,0.005269078761768749,1,1
0,0,20,-2.247762680053711,1.2233102321624756,1.5650391578674316,3,0,0,1,0.0,0,0,0,1,9.31551287810118,7.387655258178711,1.3469138145446777,1.5646470785140991,0,0.0,1.3535209894180298,0.4913382612790332,0.2801105553387825,0,0
0,0,20,-2.247762680053711,1.2233102321624756,1.5650391578674316,3,0,0,1,0.0,0,0,0,2,9.31551287810118,7.381641387939453,1.3454103469848633,1.5646183490753174,0,0.0,1.3530724048614502,0.49117807682171033,0.28305902444730807,0,0
0,0,30,-2.2470500469207764,1.4506596326828003,1.5666232109069824,3,0,0,1,0.0,0,0,0,0,8.549999999999999,7.599941253662109,1.3999853134155273,1.8944354057312012,0,0.0,1.3749892711639404,0.499996709974128,0.005235958467032617,1,1
0,0,30,-2.2470500469207764,1.4506596326828003,1.5666232109069824,3,0,0,1,0.0,0,0,0,1,9.0685506996768,7.404453277587891,1.3511133193969727,1.5647401809692383,0,0.0,1.3533709049224854,0.4922749036605466,0.27738276968061254,0,0
0,0,30,-2.2470500469207764,1.4506596326828003,1.5666232109069824,3,0,0,1,0.0,0,0,0,2,9.0685506996768,7.399585723876953,1.3498964309692383,1.564458966255188,0,0.0,1.352891445159912,0.4921037149869568,0.2804074968653456,0,0
0,0,40,-2.246227264404297,1.686084270477295,1.5701748132705688,3,0,0,1,0.0,0,0,0,0,8.299999999999999,7.599966049194336,1.399991512298584,1.894463300704956,0,0.0,1.3749946355819702,0.49999737400721955,0.004982434707413459,1,1
0,0,40,-2.246227264404297,1.686084270477295,1.5701748132705688,3,0,0,1,0.0,0,0,0,1,8.82182489730488,7.4066009521484375,1.3516502380371094,1.5883593559265137,0,0.0,1.35304856300354,0.49215967578607894,0.27476721631453266,0,0
0,0,40,-2.246227264404297,1.686084270477295,1.5701748132705688,3,0,0,1,0.0,0,0,0,2,8.82182489730488,7.404384613037109,1.3510961532592773,1.5646584033966064,0,0.0,1.3525645732879639,0.4919864273430684,0.2781279957746573,0,0
0,0,50,-2.2476887702941895,1.9204412698745728,1.5816634893417358,3,0,0,1,0.0,0,0,0,0,8.099999999999998,7.599849700927734,1.3999624252319336,1.8424173593521118,0,0.0,1.3749923706054688,0.49999812717504355,0.004425144772353072,1,1
0,0,50,-2.2476887702941895,1.9204412698745728,1.5816634893417358,3,0,0,1,0.0,0,0,0,1,8.624633442061722,7.384784698486328,1.346196174621582,1.5644280910491943,0,0.0,1.3520324230194092,0.49179730533045063,0.28288648628505453,0,0
0,0,50,-2.2476887702941895,1.9204412698745728,1.5816634893417358,3,0,0,1,0.0,0,0,0,2,8.624633442061722,7.392740249633789,1.3481850624084473,1.564941167831421,0,0.0,1.352027416229248,0.49179538715263676,0.28308186437375177,0,0
0,0,60,-2.2507882118225098,2.1551640033721924,1.582728385925293,3,0,0,1,0.0,0,0,0,0,7.849999999999999,7.599834442138672,1.399958610534668,1.6494357585906982,0,0.0,1.3749865293502808,0.4999941586276453,0.0066773663240487545,1,1
0,0,60,-2.2507882118225098,2.1551640033721924,1.582728385925293,3,0,0,1,0.0,0,0,0,1,8.378408067339434,7.393766403198242,1.3484416007995605,1.564521074295044,0,0.0,1.3528152704238892,0.49207578520995027,0.2827189184155068,0,0
0,0,60,-2.2507882118225098,2.1551640033721924,1.582728385925293,3,0,0,1,0.0,0,0,0,2,8.378408067339434,7.404003143310547,1.3510007858276367,1.5648086071014404,0,0.0,1.353214979171753,0.49221821478576216,0.28029388636305985,0,0
0,0,70,-2.2525317668914795,2.391216993331909,1.5754755735397339,3,0,0,1,0.0,0,0,0,0,7.599999999999999,7.599943161010742,1.3999857902526855,1.4451878070831299,0,0.0,1.374990463256836,0.49999681577911137,0.005152489321386776,1,1
0,0,70,-2.2525317668914795,2.391216993331909,1.5754755735397339,3,0,0,1,0.0,0,0,0,1,8.132511449126646,7.398639678955078,1.3496599197387695,1.468013882637024,0,0.0,1.3522566556930542,0.4918769838695526,0.27877045571122616,0,0
0,0,70,-2.2525317668914795,2.391216993331909,1.5754755735397339,3,0,0,1,0.0,0,0,0,2,8.132511449126646,7.403833389282227,1.3509583473205566,1.5883911848068237,0,0.0,1.3527010679244995,0.4920355278855138,0.2761077575286966,0,0
