world,seed,step,state_x,state_y,state_yaw,candidate_count,heuristic_branch,oracle_branch,agrees,utility_regret,heuristic_collision,oracle_collision,avoidable_collision,branch_id,promise,utility,progress_m,minimum_clearance_m,collision,stall_fraction,path_length_m,mean_speed_mps,mean_abs_omega_rps,is_heuristic,is_oracle
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,0,9.0,7.150001525878906,1.2875003814697266,1.8949999809265137,0,0.0,1.2850003242492676,0.45982142857142855,0.0,1,1
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,1,9.513236186146589,6.992805480957031,1.2482013702392578,1.6120399236679077,0,0.0,1.2636055946350098,0.45218076037786004,0.2523747889156115,0,0
0,0,0,-2.25,1.0,1.5707963267948966,3,0,0,1,0.0,0,0,0,2,9.513236186146589,6.992805480957031,1.2482013702392578,1.6120399236679077,0,0.0,1.2636055946350098,0.45218076037786004,0.25237478891561166,0,0
0,0,10,-2.24971604347229,1.0588933229446411,1.5600006580352783,3,0,0,1,0.0,0,0,0,0,8.95,7.434638977050781,1.3586597442626953,1.8946539163589478,0,0.0,1.3468140363693237,0.48524157470932977,0.005436673157160462,1,1
0,0,10,-2.24971604347229,1.0588933229446411,1.5600006580352783,3,0,0,1,0.0,0,0,0,1,9.463793281809847,7.256681442260742,1.3141703605651855,1.5893465280532837,0,0.0,1.3259907960891724,0.47780505995307937,0.2720963136529696,0,0
0,0,10,-2.24971604347229,1.0588933229446411,1.5600006580352783,3,0,0,1,0.0,0,0,0,2,9.463793281809847,7.249261856079102,1.3123154640197754,1.5643153190612793,0,0.0,1.325730562210083,0.4777120918342269,0.27367086333589363,0,0
0,0,20,-2.247821569442749,1.2029353380203247,1.558211326599121,3,0,0,1,0.0,0,0,0,0,8.799999999999999,7.576711654663086,1.3941779136657715,1.894214391708374,0,0.0,1.3733423948287964,0.4979296904460166,0.008401859385953914,1,1
0,0,20,-2.247821569442749,1.2029353380203247,1.558211326599121,3,0,0,1,0.0,0,0,0,1,9.31551287810118,7.387989044189453,1.3469972610473633,1.589424967765808,0,0.0,1.3522498607635498,0.49039635911702245,0.27874173604351304,0,0
0,0,20,-2.247821569442749,1.2029353380203247,1.558211326599121,3,0,0,1,0.0,0,0,0,2,9.31551287810118,7.376941680908203,1.3442354202270508,1.5643774271011353,0,0.0,1.351653814315796,0.4901838182900988,0.28255246952990365,0,0
0,0,30,-2.2460148334503174,1.4257149696350098,1.5659418106079102,3,0,0,1,0.0,0,0,0,0,8.549999999999999,7.599924087524414,1.3999810218811035,1.8943047523498535,0,0.0,1.374985933303833,0.4999946812268128,0.006739646071945936,1,1
0,0,30,-2.2460148334503174,1.4257149696350098,1.5659418106079102,3,0,0,1,0.0,0,0,0,1,9.0685506996768,7.414669036865234,1.3536672592163086,1.5884424448013306,0,0.0,1.3535778522491455,0.4923481472010939,0.2737558781658495,0,0
0,0,30,-2.2460148334503174,1.4257149696350098,1.5659418106079102,3,0,0,1,0.0,0,0,0,2,9.0685506996768,7.409019470214844,1.352254867553711,1.5644583702087402,0,0.0,1.3529798984527588,0.49213458861251513,0.27753477698855045,0,0
0,0,40,-2.246206521987915,1.6611300706863403,1.5760709047317505,3,0,0,1,0.0,0,0,0,0,8.349999999999998,7.599939346313477,1.3999848365783691,1.8947807550430298,0,0.0,1.3749971389770508,0.49999904259266076,0.0034517630342812936,1,1
0,0,40,-2.246206521987915,1.6611300706863403,1.5760709047317505,3,0,0,1,0.0,0,0,0,1,8.871149842504158,7.3942108154296875,1.3485527038574219,1.5646905899047852,0,0.0,1.3528443574905396,0.49208724809087734,0.2781259059307222,0,0
0,0,40,-2.246206521987915,1.6611300706863403,1.5760709047317505,3,0,0,1,0.0,0,0,0,2,8.871149842504158,7.396732330322266,1.3491830825805664,1.564901351928711,0,0.0,1.3524810075759888,0.49195727700191627,0.2808163787840075,0,0
0,0,50,-2.2478456497192383,1.8969690799713135,1.5802242755889893,3,0,0,1,0.0,0,0,0,0,8.099999999999998,7.5998992919921875,1.3999748229980469,1.864281415939331,0,0.0,1.3749980926513672,0.49999865419197687,0.0038057403828311576,1,1
0,0,50,-2.2478456497192383,1.8969690799713135,1.5802242755889893,3,0,0,1,0.0,0,0,0,1,8.624633442061722,7.394758224487305,1.3486895561218262,1.5647071599960327,0,0.0,1.3520660400390625,0.49180957016261584,0.2786797983057415,0,0
0,0,50,-2.2478456497192383,1.8969690799713135,1.5802242755889893,3,0,0,1,0.0,0,0,0,2,8.624633442061722,7.401256561279297,1.3503141403198242,1.5884149074554443,0,0.0,1.352059006690979,0.4918069632545116,0.27886968767341874,0,0
0,0,60,-2.250760078430176,2.1319167613983154,1.5821080207824707,3,0,0,1,0.0,0,0,0,0,7.849999999999999,7.599843978881836,1.399960994720459,1.6705052852630615,0,0.0,1.374987244606018,0.49999471572936194,0.006350664937952555,1,1
0,0,60,-2.250760078430176,2.1319167613983154,1.5821080207824707,3,0,0,1,0.0,0,0,0,1,8.378408067339434,7.40315055847168,1.35078763961792,1.56455397605896,0,0.0,1.3528530597686768,0.4920896819710328,0.2786665218552338,0,0
0,0,60,-2.250760078430176,2.1319167613983154,1.5821080207824707,3,0,0,1,0.0,0,0,0,2,8.378408067339434,7.412445068359375,1.3531112670898438,1.588513731956482,0,0.0,1.3532387018203735,0.492227168725741,0.2763942743189298,0,0
0,0,70,-2.2523112297058105,2.36670184135437,1.5738880634307861,3,0,0,1,0.0,0,0,0,0,7.649999999999999,7.599958419799805,1.3999896049499512,1.4650230407714844,0,0.0,1.3749923706054688,0.49999793337258663,0.004174772097403857,1,1
0,0,70,-2.2523112297058105,2.36670184135437,1.5738880634307861,3,0,0,1,0.0,0,0,0,1,8.181662445769591,7.388795852661133,1.3471989631652832,1.4918360710144043,0,0.0,1.3521037101745605,0.4918222645547862,0.28218859872557944,0,0
0,0,70,-2.2523112297058105,2.36670184135437,1.5738880634307861,3,0,0,1,0.0,0,0,0,2,8.181662445769591,7.392778396606445,1.3481945991516113,1.5646730661392212,0,0.0,1.352498173713684,0.49196306471009926,0.2798185544817573,0,0
