scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m,mean_sigma_v,mean_sigma_w
dynamic,adaptive,49,1,success,1,25.25,9.86,0.055,0.05,11,10,0.32475247524752476,20,55.926587954611016,1.0000059014121203,0.1862,0.6523,0.16723189400849672,0.6112134065784911
dynamic_blocked,fixed,4,0,success,1,22.35,9.74,0.09,0.1,11,11,0.5212527964205816,15,32.68770948275569,1.0,0.4052,1.1843,0.20000000000000004,0.5999999999999999
dynamic_blocked,adaptive,4,0,success,1,22.3,9.72,0.089,0.1,9,9,0.6210762331838565,17,43.72318094463044,1.0,0.4046,1.1418,0.17589562933768407,0.5966348423123211
dynamic_blocked,fixed,4,1,success,1,27.85,10.81,0.091,0.1,16,15,0.5421903052064632,17,33.765337917120696,1.0,0.6251,1.1753,0.2,0.5999999999999998
dynamic_blocked,adaptive,4,1,collision,0,13.45,2.91,-0.011,3.6,6,6,0.20446096654275092,11,65.34013576361427,1.0038926225523812,0.1,0.205,0.18538567522030058,0.5913690381419231
dynamic_blocked,fixed,48,0,collision,0,6.5,2.2,-0.001,0.65,3,3,0.4076923076923077,9,42.47648965217191,1.0000007626926546,0.2166,0.5168,0.20000000000000004,0.5999999999999999
dynamic_blocked,adaptive,48,0,timeout,0,60.0,10.09,0.036,12.1,10,27,0.8333333333333334,42,100.72102276398995,1.0002566571000981,0.2088,0.5533,0.16614425993906184,0.6223502423686889
dynamic_blocked,fixed,48,1,success,1,42.35,13.38,0.099,3.55,14,19,0.5655253837072018,23,63.731947081967355,1.0,0.4357,1.2401,0.20000000000000007,0.5999999999999998
dynamic_blocked,adaptive,48,1,success,1,43.0,12.2,0.1,2.1,19,13,0.7790697674418605,24,76.84549793017234,1.0,0.3638,1.0477,0.17736047433030724,0.6033741845457584
dynamic_blocked,fixed,49,0,success,1,24.6,9.86,0.098,0.1,11,13,0.46747967479674796,15,44.59647026964423,1.0000000316381246,0.3978,1.1302,0.2,0.5999999999999998
dynamic_blocked,adaptive,49,0,success,1,31.75,10.03,0.098,1.8,13,15,0.34488188976377954,19,74.11003234125228,1.0000000005733751,0.2403,0.6124,0.1662851390502257,0.6125793075995594
dynamic_blocked,fixed,49,1,collision,0,7.05,2.29,-0.007,0.6,8,1,0.7163120567375887,10,25.517708527418186,1.0000000000000058,0.0179,0.0457,0.20000000000000004,0.5999999999999999
dynamic_blocked,adaptive,49,1,success,1,36.75,11.84,0.041,2.1,21,20,0.39319727891156464,24,65.37550281608571,1.0000000032222358,0.4129,1.2608,0.16369824426012883,0.6178819570089329
