scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
blocked,slip,4,0,0.3,1,1.063745360535613,0.5168867858697214,success,1,27.85,9.69,0.096,2.35,246.805,398.434,551.579,18,11,0.3734290843806104,8,63.75761855905486,1.0,0.3316,1.061
blocked,slip,4,0,0.3,2,0.8311778472797038,0.5404689431500065,success,1,28.85,9.51,0.112,3.1,234.24,372.659,525.822,20,11,0.39168110918544197,9,62.128139863543154,1.0,0.3082,0.9964
blocked,slip,4,0,0.3,3,0.7431871027199279,0.5962666730087158,success,1,28.75,9.57,0.109,2.8,273.266,473.68,611.568,8,11,0.39652173913043476,9,64.2245630968472,1.0,0.3108,0.9898
blocked,slip,4,0,0.3,4,0.6046056467266381,0.4803843316097797,success,1,29.15,9.56,0.121,3.55,219.992,316.299,402.229,8,9,0.4219554030874786,9,63.18148477400693,1.0,0.3093,1.0122
blocked,slip,4,0,0.3,5,0.9567675249061701,0.6478083983163907,success,1,27.8,9.57,0.122,2.25,392.091,476.875,561.437,18,9,0.41007194244604317,9,63.01057126461982,1.0,0.3155,0.9769
blocked,slip,4,0,0.3,6,0.8189207312787303,0.4452301527722202,success,1,28.25,9.55,0.116,2.7,328.751,432.55,527.953,10,11,0.3663716814159292,8,65.42494025990347,1.0,0.3049,0.9699
blocked,slip,4,0,0.3,7,1.008090037578636,0.451695755106654,success,1,29.9,9.69,0.074,3.75,225.969,343.762,541.339,18,11,0.34448160535117056,8,61.98866757208182,1.0,0.2992,0.9942
blocked,slip,4,1,0.3,0,0.707532856302214,0.6678060455012056,success,1,35.15,9.99,0.038,7.25,298.396,425.695,533.735,18,13,0.39544807965860596,8,55.86548932154111,1.0,0.3524,1.0862
blocked,slip,4,1,0.3,1,0.600858846293649,0.3944773461466671,success,1,31.0,9.67,0.061,3.8,400.549,477.494,582.536,16,13,0.46774193548387094,8,56.94038090750421,1.0000000000000009,0.3119,1.0087
blocked,slip,4,1,0.3,2,0.6314907514990586,0.4868030789553097,success,1,31.6,9.89,0.072,4.55,238.111,329.484,525.22,14,13,0.41455696202531644,10,63.83622145698974,1.0,0.3235,1.0861
blocked,slip,4,1,0.3,3,0.6056630449061288,0.61651100971851,success,1,31.3,9.78,0.07,3.65,384.797,462.778,572.256,16,9,0.44568690095846647,8,56.24843484501446,1.0,0.3158,1.0175
blocked,slip,4,1,0.3,4,0.8196193932909198,0.6949494909634159,success,1,32.25,9.89,0.036,4.8,219.715,302.161,505.691,12,7,0.3767441860465116,8,62.30936886595857,1.0,0.3031,1.0109
blocked,slip,4,1,0.3,5,1.0195084462390394,0.3905183545368227,success,1,27.05,9.66,0.117,1.65,231.771,369.073,536.318,14,7,0.4676524953789279,7,58.210060317206896,1.0,0.3323,1.0393
