scenario,config,runs,successes,success_rate,peer_collisions,static_collisions,timeouts,mean_success_time_s,mean_peer_clearance_m,worst_peer_clearance_m,mean_stall_time_s,mean_branch_fraction,mean_controller_hz
blocked_split,flow_only,5,0,0.0,0,0,5,nan,0.12814,0.0702,24.21,0.0,7.1578
blocked_split,amoeba,5,4,0.8,0,0,1,28.725,0.69472,0.6365,6.390000000000001,0.451780424458161,6.647800000000001
