n,seed,condition,motion,result,success,min_clear_m,time_s,path_len_m,controller_mean_ms,blob_active_cycles,blob_cycles,blob_routes,blob_infeasible,blob_mean_ms,modes_added
10,14,modes,waypoint,success,1,0.161,29.15,11.64,269.394,0,0,0,0,0.0,0
10,14,blob_extras,waypoint,success,1,0.161,29.15,11.64,321.446,0,583,0,0,24.664,0
10,14,blob_pods,waypoint,success,1,0.161,29.15,11.64,317.58,0,583,0,0,23.379,0
10,15,base,waypoint,success,1,0.186,24.25,10.78,278.406,0,0,0,0,0.0,0
10,15,modes,waypoint,success,1,0.111,24.85,10.96,289.524,0,0,0,0,0.0,168
10,15,blob_extras,waypoint,success,1,0.154,24.25,10.77,254.99,28,485,56,7,16.119,0
10,15,blob_pods,waypoint,success,1,0.198,24.35,10.78,311.078,29,487,87,30,21.283,0
10,16,base,waypoint,success,1,0.13,23.15,10.32,376.22,0,0,0,0,0.0,0
10,16,modes,waypoint,success,1,0.147,23.35,10.37,318.534,0,0,0,0,0.0,22
10,16,blob_extras,waypoint,success,1,0.13,23.15,10.32,430.307,0,463,0,0,39.035,0
10,16,blob_pods,waypoint,success,1,0.13,23.15,10.32,415.948,0,463,0,0,36.662,0
10,17,base,waypoint,success,1,0.142,34.35,14.29,339.926,0,0,0,0,0.0,0
10,17,modes,waypoint,success,1,0.142,34.35,14.29,334.728,0,0,0,0,0.0,74
10,17,blob_extras,waypoint,success,1,0.157,26.65,11.61,321.118,89,533,172,36,22.565,0
10,17,blob_pods,waypoint,success,1,0.132,26.4,11.57,278.466,96,528,288,84,18.322,0
10,18,base,waypoint,success,1,0.206,27.75,11.97,385.484,0,0,0,0,0.0,0
10,18,modes,waypoint,success,1,0.208,26.65,11.5,269.498,0,0,0,0,0.0,64
10,18,blob_extras,waypoint,success,1,0.161,24.1,10.68,287.466,30,482,60,7,21.962,0
10,18,blob_pods,waypoint,success,1,0.167,25.05,11.0,400.828,29,501,87,7,31.631,0
10,19,base,waypoint,success,1,0.348,24.9,10.99,362.831,0,0,0,0,0.0,0
10,19,modes,waypoint,success,1,0.348,25.05,11.08,302.241,0,0,0,0,0.0,48
10,19,blob_extras,waypoint,success,1,0.348,24.9,10.99,250.178,0,498,0,0,15.809,0
10,19,blob_pods,waypoint,success,1,0.348,24.9,10.99,440.381,0,498,0,0,34.559,0
20,0,base,waypoint,success,1,0.104,25.6,11.25,375.22,0,0,0,0,0.0,0
20,0,modes,waypoint,success,1,0.1,25.85,11.31,444.609,0,0,0,0,0.0,56
20,0,blob_extras,waypoint,success,1,0.102,25.6,11.25,311.935,2,512,4,0,21.086,0
20,0,blob_pods,waypoint,success,1,0.102,25.6,11.25,297.283,2,512,6,0,19.555,0
20,1,base,waypoint,success,1,0.125,25.25,10.58,450.604,0,0,0,0,0.0,0
20,1,modes,waypoint,success,1,0.14,25.25,10.59,401.853,0,0,0,0,0.0,30
20,1,blob_extras,waypoint,success,1,0.147,25.15,10.52,322.749,10,503,20,5,20.647,0
20,1,blob_pods,waypoint,success,1,0.125,25.25,10.58,342.115,10,505,30,8,23.36,0
20,2,base,waypoint,timeout,0,0.123,60.0,17.45,279.792,0,0,0,0,0.0,0
20,2,modes,waypoint,collision,0,-0.006,50.5,14.51,428.815,0,0,0,0,0.0,344
20,2,blob_extras,waypoint,collision,0,-0.004,49.55,14.47,397.783,551,991,948,246,20.542,0
20,2,blob_pods,waypoint,collision,0,-0.006,50.4,14.46,479.078,666,1008,1988,576,23.007,0
20,3,base,waypoint,success,1,0.132,30.7,11.85,274.501,0,0,0,0,0.0,0
20,3,modes,waypoint,success,1,0.099,38.7,13.18,481.475,0,0,0,0,0.0,122
20,3,blob_extras,waypoint,success,1,0.13,31.85,12.91,362.865,143,637,286,81,21.695,0
20,3,blob_pods,waypoint,success,1,0.189,28.85,12.23,504.951,75,577,225,48,34.844,0
20,4,base,waypoint,timeout,0,0.116,60.0,16.86,310.698,0,0,0,0,0.0,0
20,4,modes,waypoint,timeout,0,0.11,60.0,17.34,364.907,0,0,0,0,0.0,224
20,4,blob_extras,waypoint,timeout,0,0.119,60.0,17.39,370.595,342,1200,668,254,24.694,0
20,4,blob_pods,waypoint,timeout,0,0.125,60.0,17.56,328.285,569,1200,1699,442,19.448,0
20,5,base,waypoint,success,1,0.13,34.05,13.34,280.37,0,0,0,0,0.0,0
20,5,modes,waypoint,success,1,0.104,36.35,14.03,361.981,0,0,0,0,0.0,146
20,5,blob_extras,waypoint,success,1,0.16,36.75,13.68,438.351,162,735,306,101,29.912,0
20,5,blob_pods,waypoint,success,1,0.125,29.85,12.29,430.653,116,597,346,172,29.332,0
20,6,base,waypoint,success,1,0.049,33.15,12.61,327.495,0,0,0,0,0.0,0
20,6,modes,waypoint,success,1,0.114,34.85,12.66,389.08,0,0,0,0,0.0,118
20,6,blob_extras,waypoint,success,1,0.077,41.15,13.7,397.295,198,823,370,141,25.886,0
20,6,blob_pods,waypoint,success,1,0.123,39.8,13.67,384.837,194,796,570,242,26.031,0
20,7,base,waypoint,success,1,0.053,35.85,13.26,435.242,0,0,0,0,0.0,0
20,7,modes,waypoint,success,1,0.052,39.7,14.63,415.872,0,0,0,0,0.0,182
20,7,blob_extras,waypoint,success,1,0.142,37.65,14.33,454.684,330,753,660,125,27.55,0
20,7,blob_pods,waypoint,success,1,0.08,35.7,12.88,464.229,337,714,965,232,28.075,0
20,8,base,waypoint,success,1,0.128,38.3,14.09,326.904,0,0,0,0,0.0,0
20,8,modes,waypoint,success,1,0.138,40.05,14.33,418.613,0,0,0,0,0.0,114
20,8,blob_extras,waypoint,success,1,0.136,40.25,13.91,363.259,205,805,400,241,20.53,0
20,8,blob_pods,waypoint,success,1,0.129,40.2,14.24,372.363,237,804,660,333,22.348,0
20,9,base,waypoint,success,1,0.187,38.75,12.67,402.929,0,0,0,0,0.0,0
20,9,modes,waypoint,success,1,0.169,32.45,12.01,387.938,0,0,0,0,0.0,118
20,9,blob_extras,waypoint,success,1,0.128,38.95,13.6,391.66,159,779,304,192,23.76,0
20,9,blob_pods,waypoint,success,1,0.138,32.3,11.92,406.659,129,646,387,122,24.313,0
20,10,base,waypoint,success,1,0.084,44.35,14.37,408.581,0,0,0,0,0.0,0
20,10,modes,waypoint,success,1,0.067,44.85,13.81,460.953,0,0,0,0,0.0,162
20,10,blob_extras,waypoint,success,1,0.093,34.35,12.39,405.107,136,687,272,130,24.241,0
20,10,blob_pods,waypoint,success,1,0.142,33.6,12.1,427.599,103,672,309,91,26.779,0
20,11,base,waypoint,success,1,0.054,42.45,16.24,362.794,0,0,0,0,0.0,0
20,11,modes,waypoint,success,1,0.163,42.35,16.13,393.941,0,0,0,0,0.0,58
20,11,blob_extras,waypoint,success,1,0.143,41.75,14.99,406.658,247,835,494,213,26.456,0
20,11,blob_pods,waypoint,collision,0,-0.005,22.9,7.19,385.72,111,458,331,203,24.721,0
20,12,base,waypoint,success,1,0.124,28.65,11.35,367.717,0,0,0,0,0.0,0
20,12,modes,waypoint,success,1,0.122,27.45,11.21,437.137,0,0,0,0,0.0,184
20,12,blob_extras,waypoint,success,1,0.122,28.35,11.25,429.395,40,567,80,24,29.714,0
20,12,blob_pods,waypoint,success,1,0.148,28.4,11.38,370.756,40,568,120,26,22.841,0
20,13,base,waypoint,collision,0,-0.005,34.9,10.98,406.018,0,0,0,0,0.0,0
20,13,modes,waypoint,success,1,0.134,34.4,12.3,441.754,0,0,0,0,0.0,282
20,13,blob_extras,waypoint,success,1,0.164,34.65,12.79,418.147,61,693,122,61,24.524,0
20,13,blob_pods,waypoint,success,1,0.136,43.35,15.34,427.542,226,867,662,217,23.735,0
20,14,base,waypoint,success,1,0.206,22.7,10.17,376.372,0,0,0,0,0.0,0
20,14,modes,waypoint,success,1,0.183,22.7,10.17,411.715,0,0,0,0,0.0,135
20,14,blob_extras,waypoint,success,1,0.206,22.7,10.17,442.25,0,454,0,0,30.737,0
20,14,blob_pods,waypoint,success,1,0.206,22.7,10.17,423.9,0,454,0,0,29.773,0
20,15,base,waypoint,success,1,0.1,34.2,12.31,385.232,0,0,0,0,0.0,0
20,15,modes,waypoint,success,1,0.126,39.95,13.47,416.53,0,0,0,0,0.0,210
20,15,blob_extras,waypoint,success,1,0.138,40.0,13.83,423.794,270,800,522,215,25.383,0
20,15,blob_pods,waypoint,success,1,0.109,34.2,12.75,434.136,146,684,436,150,28.039,0
20,16,base,waypoint,success,1,0.114,24.75,10.58,370.819,0,0,0,0,0.0,0
20,16,modes,waypoint,success,1,0.126,24.95,10.6,402.277,0,0,0,0,0.0,170
20,16,blob_extras,waypoint,success,1,0.138,24.65,10.55,367.866,70,493,140,42,22.939,0
20,16,blob_pods,waypoint,success,1,0.15,24.95,10.59,447.146,75,499,224,54,30.342,0
20,17,base,waypoint,collision,0,-0.016,18.8,6.34,383.487,0,0,0,0,0.0,0
20,17,modes,waypoint,collision,0,-0.01,19.4,6.86,395.682,0,0,0,0,0.0,100
20,17,blob_extras,waypoint,collision,0,-0.013,19.35,7.14,453.012,194,387,388,129,30.378,0
20,17,blob_pods,waypoint,success,1,0.106,37.9,13.08,404.059,227,758,622,261,22.016,0
20,18,base,waypoint,collision,0,-0.004,23.35,5.1,303.624,0,0,0,0,0.0,0
20,18,modes,waypoint,collision,0,-0.001,24.05,5.67,378.254,0,0,0,0,0.0,76
20,18,blob_extras,waypoint,collision,0,-0.001,23.65,5.77,390.785,128,473,238,60,23.075,0
20,18,blob_pods,waypoint,collision,0,-0.008,23.3,5.15,331.842,81,466,225,104,18.359,0
20,19,base,waypoint,success,1,0.119,36.25,12.71,375.075,0,0,0,0,0.0,0
20,19,modes,waypoint,success,1,0.124,36.55,13.5,373.094,0,0,0,0,0.0,258
