scenario,config,runs,successes,success_rate,collisions,timeouts,mean_success_time_s,mean_success_path_m,mean_clearance_m,worst_clearance_m,mean_goal_progress_m,mean_stall_s,mean_controller_hz,mean_controller_ms,mean_controller_p95_ms,worst_controller_max_ms,mean_path_error_m
static,vanilla,3,1,0.3333333333333333,2,0,24.15,8.53,0.22699999999999998,-0.019,6.696066666666667,3.516666666666667,31.649333333333335,31.44666666666667,35.25,68.646,0.2313333333333333
static,path_mppi,3,2,0.6666666666666666,1,0,25.75,8.625,0.21666666666666665,-0.04,8.290066666666668,1.1333333333333335,9.11,109.59966666666666,115.97666666666667,179.049,0.037566666666666665
static,path_biased,3,2,0.6666666666666666,1,0,20.175,8.620000000000001,0.22366666666666665,-0.019,8.291533333333334,4.383333333333334,7.468333333333334,133.798,166.20166666666668,188.591,0.03416666666666667
static,amoeba,3,3,1.0,0,0,24.316666666666666,8.913333333333334,0.2583333333333333,0.1,8.5035,2.6999999999999997,6.752333333333333,147.96966666666665,194.70399999999998,226.971,0.11063333333333335
