scenario,config,runs,successes,success_rate,peer_collisions,static_collisions,timeouts,mean_success_time_s,mean_peer_clearance_m,worst_peer_clearance_m,mean_stall_time_s,mean_branch_fraction,mean_controller_hz
blocked_split,flow_only,10,2,0.2,1,2,5,36.875,0.1315,-0.0007,19.954999999999995,0.0,3.0092
blocked_split,amoeba,10,9,0.9,0,0,1,28.950000000000003,0.70252,0.6365,5.0200000000000005,0.47562388479860945,2.7123
