scenario,config,runs,successes,success_rate,peer_collisions,static_collisions,timeouts,mean_success_time_s,mean_peer_clearance_m,worst_peer_clearance_m,mean_stall_time_s,mean_branch_fraction,mean_controller_hz
blocked_split,vanilla,5,0,0.0,0,5,0,nan,0.7668799999999999,0.7304,4.81,0.0,16.1064
blocked_split,path,5,0,0.0,5,0,0,nan,-0.00378,-0.0082,6.739999999999999,0.0,8.3004
blocked_split,amoeba,5,5,1.0,0,0,0,29.129999999999995,0.7103200000000001,0.6872,3.65,0.4994673451390579,6.7909999999999995
