scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
dynamic_blocked,slip,4,0,collision,0,10.3,3.45,-0.005,0.25,386.869,569.397,661.907,2,7,0.6456310679611651,12,40.85061083267474,1.0027355691730728,0.1235,0.374
dynamic_blocked,ideal,4,1,success,1,28.05,10.79,0.091,0.1,155.77,261.646,368.704,16,16,0.5508021390374331,16,29.680081927292278,1.0,0.6071,1.1604
dynamic_blocked,slip,4,1,collision,0,13.6,3.24,-0.009,1.65,438.824,657.598,696.42,2,6,0.6875,14,62.22688480344181,1.00000855243502,0.3869,0.9501
dynamic_blocked,ideal,48,0,collision,0,6.5,2.2,-0.001,0.65,158.975,200.738,261.251,3,3,0.4076923076923077,9,42.47648965217243,1.0000007626926541,0.2166,0.5168
dynamic_blocked,slip,48,0,collision,0,5.05,2.03,-0.005,0.1,384.974,600.202,665.301,4,3,0.12871287128712872,9,47.1267047148789,1.0000000166218879,0.1568,0.622
dynamic_blocked,ideal,48,1,success,1,37.65,12.02,0.099,2.4,132.483,180.289,244.479,18,16,0.6334661354581673,20,65.42408077686518,1.0,0.408,0.9534
dynamic_blocked,slip,48,1,collision,0,6.5,2.18,-0.001,0.75,406.204,615.882,693.972,10,2,0.8923076923076924,12,65.35666994636983,1.0000000000006688,0.0403,0.1222
dynamic_blocked,ideal,49,0,success,1,24.6,9.86,0.097,0.1,142.351,204.742,350.99,11,13,0.46747967479674796,15,44.59647026964421,1.0000000316381246,0.3978,1.1302
dynamic_blocked,slip,49,0,collision,0,9.0,2.8,-0.007,0.05,356.407,407.356,663.173,2,4,0.3111111111111111,14,75.0162594286283,1.0004775361948852,0.3614,1.1131
dynamic_blocked,ideal,49,1,collision,0,6.95,2.32,-0.009,0.45,151.411,193.252,197.416,6,3,0.8057553956834532,10,25.546155139878678,1.0,0.0172,0.0414
dynamic_blocked,slip,49,1,collision,0,9.3,1.94,-0.0,0.5,324.484,372.914,408.737,4,6,0.2849462365591398,11,96.94526417958255,1.0152136390858981,0.1153,0.5563
