scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,mean_path_error_m,max_path_error_m,reference_separation_fraction,reference_pairs,mean_reference_length_m,centreline_coverage,feasible_branch_fraction,mean_guided_modes,update_collapsed_fraction,own_drift_fraction,mean_free_energy_gap,reference_fallback_fraction
blocked,nominal_fb,49,1,success,1,21.7,9.34,0.103,0.05,292.52,403.943,455.354,12,5,1.0,0.7373271889400922,49.92514292275854,0.2021,0.6696,0.2828282828282828,396,0.9084464865526763,0.38094720689954387,0.9341317365269461,1.7972350230414746,0.7373737373737373,0.041025641025641026,1.3897687968576578,0.37005988023952097
dynamic,shaped,4,0,success,1,21.15,9.33,0.103,0.05,187.119,271.668,390.404,17,3,0.26004728132387706,0.026004728132387706,31.792034227720023,0.0958,0.3378,0.0,126,0.3143350774715662,0.13746472723300152,0.9487179487179487,1.6818181818181819,1.0,0.0,0.9797225772447287,0.0
dynamic,nominal_fb,4,0,success,1,21.0,9.3,0.11,0.05,194.519,269.741,372.277,17,8,0.2619047619047619,0.1619047619047619,32.8788333312181,0.0814,0.294,0.25196850393700787,127,1.0951784202113921,0.47450355291878915,0.8972972972972973,1.509090909090909,0.7007874015748031,0.05421686746987952,1.8599322337230655,0.22857142857142856
dynamic,shaped,4,1,success,1,33.7,11.71,0.009,2.05,189.18,273.879,452.46,15,10,0.34421364985163205,0.19732937685459942,79.76305880883781,0.497,1.73,0.0,249,0.22169767103288596,0.08992733333611354,0.8303249097472925,1.9827586206896552,1.0,0.0,0.775954158436944,0.0
dynamic,nominal_fb,4,1,success,1,26.95,10.28,0.104,0.15,211.618,372.058,489.955,13,8,0.28014842300556586,0.22634508348794063,67.06712371461651,0.652,1.8008,0.25280898876404495,178,0.6852438258595059,0.2899425450524089,0.9087947882736156,1.8476821192052981,0.7865168539325843,0.0967741935483871,2.0650457888095763,0.5542056074766355
dynamic,shaped,48,0,collision,0,6.45,2.22,-0.007,0.7,190.54,243.419,286.324,3,2,0.7596899224806202,0.21705426356589147,49.34791845892739,0.2236,0.5353,0.0,155,0.3087053486671048,0.12839680080045926,0.8503401360544217,2.5510204081632653,1.0,0.0,1.5128136863459116,0.0
dynamic,nominal_fb,48,0,success,1,21.15,9.49,0.056,0.05,195.515,325.022,408.243,10,7,0.43498817966903075,0.21513002364066194,52.07734759198187,0.1131,0.5904,0.41081081081081083,185,1.15511681286196,0.49799491347879943,0.9125874125874126,1.4184782608695652,0.8054054054054054,0.13409961685823754,1.1926936669159853,0.25314685314685315
dynamic,shaped,48,1,success,1,20.15,8.86,0.021,0.05,171.111,248.49,313.239,14,4,0.10421836228287841,0.07444168734491315,40.51202376359489,0.0894,0.3298,0.0,23,0.3870857710014428,0.13940565711021716,0.7319587628865979,1.6904761904761905,1.0,0.0,1.7662244830290665,0.0
dynamic,nominal_fb,48,1,success,1,19.85,8.84,0.021,0.05,186.618,292.007,357.405,12,4,0.10075566750629723,0.0906801007556675,37.780714877757845,0.0769,0.3074,0.6712328767123288,73,1.364623671445267,0.49826591310579155,1.0,2.275,0.8356164383561644,0.3956043956043956,2.581762193721276,0.18985507246376812
dynamic,shaped,49,0,success,1,23.15,9.49,0.101,0.1,183.26,270.798,350.348,9,4,0.37365010799136067,0.08639308855291576,33.697968921221516,0.151,0.6954,0.0,181,0.27734520882314373,0.11980086152580555,0.8302583025830258,1.300578034682081,1.0,0.0,1.546494883643977,0.0
dynamic,nominal_fb,49,0,success,1,22.7,9.41,0.094,0.1,170.013,225.144,323.942,10,2,0.3634361233480176,0.14096916299559473,34.55146215651566,0.1325,0.6245,0.24056603773584906,212,0.8568588860414167,0.35658043585997,0.8705035971223022,1.4666666666666666,0.9528301886792453,0.2024793388429752,0.27987453915553395,0.3885416666666667
dynamic,shaped,49,1,success,1,23.7,9.9,0.087,0.05,283.399,361.593,455.058,14,10,0.6983122362869199,0.35443037974683544,40.0191053589579,0.1754,0.836,0.0,420,0.33530263194413784,0.13850430870948793,0.8826219512195121,1.7492447129909365,1.0,0.0,1.2163035309390409,0.0
dynamic,nominal_fb,49,1,success,1,22.55,9.72,0.106,0.05,177.784,244.507,404.137,10,9,0.6762749445676275,0.3858093126385809,42.82463924594994,0.2015,0.7642,0.11650485436893204,412,0.6860088851830538,0.2863580264478234,0.8950819672131147,1.7901639344262295,0.8810679611650486,0.040293040293040296,1.730039993680857,0.49637305699481865
dynamic_blocked,shaped,4,0,success,1,22.35,9.74,0.09,0.1,163.101,237.621,404.443,11,11,1.0,0.5212527964205816,32.68770948275617,0.4052,1.1843,0.0,354,0.4075927488224335,0.17295253888157583,0.9661971830985916,1.534675615212528,0.9858757062146892,0.0,1.1824242213588545,0.0
dynamic_blocked,nominal_fb,4,0,success,1,21.5,9.6,0.095,0.1,166.18,267.899,389.878,8,9,1.0,0.6302325581395349,37.82950715408639,0.388,1.106,0.3037037037037037,405,1.0615531063512855,0.4519380901733072,0.9544117647058824,1.5093023255813953,0.8123456790123457,0.01848998459167951,3.716030950747613,0.27058823529411763
