config,runs,successes,success_rate,collisions,timeouts,mean_time_success_s,mean_path_success_m,mean_clearance_m,worst_clearance_m,mean_stall_s,mean_controller_hz,mean_ess,mean_mode_switches,mean_path_error_m
current,20,15,0.75,3,2,24.743333333333332,9.341333333333335,0.05870000000000001,-0.011,6.19,6.781450000000001,48.27202339684743,6.6,0.13849
predicted,20,20,1.0,0,0,29.4175,9.5215,0.08825000000000001,0.01,5.7524999999999995,6.774849999999999,46.22845986645436,7.05,0.12143000000000004
