scenario,config,runs,successes,success_rate,collisions,timeouts,mean_success_time_s,mean_success_path_m,mean_clearance_m,worst_clearance_m,mean_goal_progress_m,mean_stall_s,mean_controller_hz,mean_path_error_m
static,vanilla,50,25,0.5,25,0,24.206,8.527999999999999,0.21572,-0.025,6.944770000000001,2.1260000000000003,29.414559999999998,0.255528
static,path_mppi,50,39,0.78,11,0,25.362820512820512,8.628974358974357,0.23344,-0.04,8.178766000000001,1.035,8.621599999999999,0.03866800000000001
static,amoeba,50,50,1.0,0,0,20.865,8.763799999999998,0.25844,0.025,8.50873,0.8740000000000001,6.36722,0.057058
