scenario,config,runs,successes,success_rate,peer_collisions,static_collisions,timeouts,mean_success_time_s,mean_peer_clearance_m,worst_peer_clearance_m,mean_stall_time_s,mean_branch_fraction,mean_controller_hz
crossing,vanilla,5,5,1.0,0,0,0,17.71,0.37029999999999996,0.3424,0.0,0.0,113.20620000000001
crossing,path,5,5,1.0,0,0,0,17.880000000000003,0.36522000000000004,0.3506,0.0,0.0,14.0846
crossing,amoeba,5,5,1.0,0,0,0,16.310000000000002,0.17112,0.1461,0.4,0.055440434288232546,10.413
head_on,vanilla,5,0,0.0,1,4,0,nan,0.012559999999999998,-0.0098,0.21000000000000002,0.0,124.88499999999999
head_on,path,5,0,0.0,3,2,0,nan,0.00016000000000000042,-0.0088,0.37,0.0,14.797400000000001
head_on,amoeba,5,0,0.0,3,2,0,nan,0.00746,-0.018,0.52,0.47168716495087654,11.061800000000002
merge,vanilla,5,5,1.0,0,0,0,17.73,0.49632000000000004,0.4837,0.0,0.0,126.4994
merge,path,5,5,1.0,0,0,0,17.91,0.53064,0.5205,0.0,0.0,14.850999999999999
merge,amoeba,5,5,1.0,0,0,0,18.55,0.30638,0.247,0.31,0.11859793733845152,11.263399999999999
