time_s,cmd_v_mps,odom_v_mps,cmd_w_radps,odom_w_radps,odom_x_m,odom_y_m
0.0,0.5,0.22359535542803116,0.0,-0.00046854658521570746,-2.49346813576131,0.9999215623938181
0.020000000000010232,0.5,0.22363360344577168,0.0,-0.0004680950727013647,-2.4934233784308577,0.9999215064833124
0.040000000000020464,0.5,0.2236718514635122,0.0,-0.00046764356018702194,-2.4933786211004048,0.9999214505728067
0.060000000000030695,0.5,0.22371009948125276,0.0,-0.0004671920476726792,-2.4933338637699523,0.9999213946623009
0.08000000000004093,0.5,0.22374834749899328,0.0,-0.00046674053515833637,-2.4932891064394997,0.9999213387517952
0.10000000000005116,0.5,0.49983428020193116,0.0,-0.00011858112895680045,-2.453029962438519,0.9999267729966693
0.12000000000006139,0.5,0.4998364839565242,0.0,-0.00011845165579201093,-2.4529299933811832,0.9999267869874371
0.14000000000007162,0.5,0.49983868771111717,0.0,-0.0001183221826272214,-2.452830024323847,0.9999268009782049
0.16000000000008185,0.5,0.4998408914657102,0.0,-0.00011819270946243187,-2.4527300552665112,0.9999268149689725
0.1800000000000921,0.5,0.49984309522030324,0.0,-0.00011806323629764235,-2.452630086209175,0.9999268289597403
0.20000000000010232,0.5,0.4999898860897539,0.0,0.0006291425406180154,-2.4030361906692015,0.9999393684464662
0.22000000000011255,0.5,0.49983973650424646,0.0,0.0006166977626719905,-2.402936341517259,0.9999392580348778
0.24000000000012278,0.5,0.49968958691873905,0.0,0.0006042529847259657,-2.4028364923653167,0.9999391476232894
0.260000000000133,0.5,0.49953943733323164,0.0,0.0005918082067799408,-2.402736643213374,0.9999390372117009
0.28000000000014325,0.5,0.49938928774772423,0.0,0.000579363428833916,-2.402636794061432,0.9999389268001124
0.3000000000001535,0.5,0.49989551682718436,0.0,-5.634234620889018e-05,-2.353043846700121,0.9999507881847002
0.3200000000001637,0.5,0.4999256881582978,0.0,-3.490913413040787e-05,-2.352943837831196,0.9999507443708169
0.34000000000017394,0.5,0.4999558594894113,0.0,-1.3475922051925564e-05,-2.3528438289622713,0.9999507005569336
0.3600000000001842,0.5,0.49998603082052473,0.0,7.957290026556738e-06,-2.3527438200933464,0.9999506567430502
0.3800000000001944,0.5,0.5000162021516382,0.0,2.9390502105039046e-05,-2.352643811224422,0.9999506129291669
0.40000000000020464,0.5,0.499917089339615,0.0,0.00015896928459416658,-2.303052990309065,0.9999692187181752
0.42000000000021487,0.5,0.49992923348097196,0.0,0.00015541001651301096,-2.302952994758115,0.999969233313263
0.4400000000002251,0.5,0.4999413776223289,0.0,0.00015185074843185534,-2.302852999207165,0.9999692479083508
0.46000000000023533,0.5,0.49995352176368585,0.0,0.00014829148035069972,-2.302753003656215,0.9999692625034386
0.48000000000024556,0.5,0.49996566590504277,0.0,0.0001447322122695441,-2.302653008105265,0.9999692770985265
0.5000000000002558,0.5,0.4999348032417834,0.0,0.0004603167122085809,-2.2530595834316336,0.9999868113362922
0.520000000000266,0.5,0.49993323383306104,0.0,0.0004243853990873267,-2.2529595980430357,0.999986845935782
0.5400000000002763,0.5,0.4999316644243387,0.0,0.0003884540859660725,-2.2528596126544373,0.9999868805352717
0.5600000000002865,0.5,0.4999300950156163,0.0,0.00035252277284481833,-2.2527596272658394,0.9999869151347616
0.5800000000002967,0.5,0.49992852560689394,0.0,0.00031659145972356414,-2.2526596418772415,0.9999869497342513
